scenario,z_s,chi_Mpc,sigma0,r,d,sigma_res,ell_Mpc,z_slip,slip_loc,N_pat,sqrtN,RMS_path,DESI_res_OK,boost
NP-B,1.5,4482.097,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.8,7.48938140548237e-05,3446.199741549114,58.704341760632275,0.0043965920560316155,True,58.704341760632275
NP-B,1.5,4482.097,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,1.0,5.459759044596649e-05,3446.199741549114,58.704341760632275,0.0032051156088470484,True,58.704341760632275
DESI_ceil,1.5,4482.097,0.00015,0.0,3,0.00015,12.557069918314655,0.3,0.00029694171706006026,356.93812863170655,18.892806266717145,0.005610062332922055,True,18.892806266717145
DESI_ceil,1.5,4482.097,0.00015,0.0,3,0.00015,12.557069918314655,0.5,0.0001932980599647266,356.93812863170655,18.892806266717145,0.003651942798645853,True,18.892806266717145
DESI_ceil,1.5,4482.097,0.00015,0.0,3,0.00015,12.557069918314655,0.8,0.00011186230322032788,356.93812863170655,18.892806266717145,0.002113392823290424,True,18.892806266717145
DESI_ceil,1.5,4482.097,0.00015,0.0,3,0.00015,12.557069918314655,1.0,8.154761904761904e-05,356.93812863170655,18.892806266717145,0.0015406633681787196,True,18.892806266717145
Sorkin,2.0,5312.076,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.3,2.3311943739560583e-61,5.31207551113435e+43,1000000.0,2.3311943739560582e-55,True,1000000.0
Sorkin,2.0,5312.076,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.5,1.5175211969130252e-61,5.31207551113435e+43,1000000.0,1.5175211969130253e-55,True,1000000.0
Sorkin,2.0,5312.076,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.8,8.78195137102445e-62,5.31207551113435e+43,1000000.0,8.78195137102445e-56,True,1000000.0
Sorkin,2.0,5312.076,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,1.0,6.402042549476826e-62,5.31207551113435e+43,1000000.0,6.402042549476826e-56,True,1000000.0
NP-A,2.0,5312.076,1e-05,0.0,3,1e-05,2.064559830050636,0.3,1.9796114470670686e-05,2572.982111641717,50.72457108386149,0.0010041494156517942,True,50.72457108386149
NP-A,2.0,5312.076,1e-05,0.0,3,1e-05,2.064559830050636,0.5,1.2886537330981777e-05,2572.982111641717,50.72457108386149,0.0006536640788702199,True,50.72457108386149
NP-A,2.0,5312.076,1e-05,0.0,3,1e-05,2.064559830050636,0.8,7.4574868813551934e-06,2572.982111641717,50.72457108386149,0.00037827782342026605,True,50.72457108386149
NP-A,2.0,5312.076,1e-05,0.0,3,1e-05,2.064559830050636,1.0,5.436507936507937e-06,2572.982111641717,50.72457108386149,0.00027576453327337404,True,50.72457108386149
NP-B,2.0,5312.076,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.3,0.0001988077940681529,4084.354510715421,63.90895485544589,0.012705598336012367,True,63.90895485544589
NP-B,2.0,5312.076,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.5,0.00012941651068673537,4084.354510715421,63.90895485544589,0.008270873939027902,True,63.90895485544589
